Year,Film,Nominee,Winner,Gender
1927/28 (1st),The Devil Dancer;,George Barnes,False,Man
1927/28 (1st),Sunrise,Charles Rosher,True,Man
1927/28 (1st),Sunrise,Karl Struss,True,Man
1928/29 (2nd),Our Dancing Daughters,George Barnes,False,Man
1928/29 (2nd),White Shadows in the South Seas,Clyde De Vinna,True,Man
1928/29 (2nd),In Old Arizona,Arthur Edeson,False,Man
1928/29 (2nd),Four Devils;,Ernest Palmer,False,Man
1928/29 (2nd),The Divine Lady,John Seitz,False,Man
1929/30 (3rd),All Quiet on the Western Front,(Arthur Edeson),False,Man
1929/30 (3rd),Anna Christie,(William Daniels),False,Man
1929/30 (3rd),Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",False,Man
1929/30 (3rd),The Love Parade,(Victor Milner),False,Man
1929/30 (3rd),With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",True,Man
1930/31 (4th),Cimarron,Edward Cronjager,False,Man
1930/31 (4th),Morocco,Lee Garmes,False,Man
1930/31 (4th),The Right to Love,Charles Lang,False,Man
1930/31 (4th),Svengali,"Barney ""Chick"" McGill",False,Man
1930/31 (4th),Tabu,Floyd Crosby,True,Man
1931/32 (5th),Arrowsmith,Ray June,False,Man
1931/32 (5th),Dr. Jekyll and Mr. Hyde,Karl Struss,False,Man
1931/32 (5th),Shanghai Express,Lee Garmes,True,Man
1932/33 (6th),A Farewell to Arms,"Charles Bryant Lang, Jr.",True,Man
1932/33 (6th),Reunion in Vienna,George J. Folsey,False,Man
1932/33 (6th),The Sign of the Cross,Karl Struss,False,Man
1934 (7th),The Affairs of Cellini,Charles Rosher,False,Man
1934 (7th),Cleopatra,Victor Milner,True,Man
1934 (7th),Operator 13,George Folsey,False,Man
1935 (8th),Barbary Coast,Ray June,False,Man
1935 (8th),The Crusades,Victor Milner,False,Man
1935 (8th),Les Miserables,Gregg Toland,False,Man
1935 (8th),A Midsummer Night's Dream,Hal Mohr,True,Man
1936 (9th),Anthony Adverse,Gaetano Gaudio,True,Man
1936 (9th),The General Died at Dawn,Victor Milner,False,Man
1936 (9th),The Gorgeous Hussy,George Folsey,False,Man
1936 (9th),Unknown,Unknown,True,Man
1937 (10th),Dead End,Gregg Toland,False,Man
1937 (10th),The Good Earth,Karl Freund,True,Man
1937 (10th),Wings over Honolulu,Joseph Valentine,False,Man
1937 (10th),Unknown,Unknown,True,Man
1938 (11th),Algiers,James Wong Howe,False,Man
1938 (11th),Army Girl,"Ernest Miller, Harry Wild",False,Man
1938 (11th),The Buccaneer,Victor Milner,False,Man
1938 (11th),The Great Waltz,Joseph Ruttenberg,True,Man
1938 (11th),Jezebel,Ernest Haller,False,Man
1938 (11th),Mad about Music,Joseph Valentine,False,Man
1938 (11th),Merrily We Live,Norbert Brodine,False,Man
1938 (11th),Suez,Peverell Marley,False,Man
1938 (11th),Vivacious Lady,Robert de Grasse,False,Man
1938 (11th),You Can't Take It with You,Joseph Walker,False,Man
1938 (11th),The Young in Heart,Leon Shamroy,False,Man
1938 (11th),Unknown,Unknown,True,Man
1939 (12th),First Love,Joseph Valentine,False,Man
1939 (12th),The Great Victor Herbert,Victor Milner,False,Man
